No.,Player ,Age,Pos,Wt,Ht,College/Univ,Yrs,Team,QB,RB,WR,TE,K,D/ST
9,Chris Boswell,29,K,185,6-2,Rice,5,PIT,0,0,0,0,1,0
11,Chase Claypool ,22,WR,238,6-4,Notre Dame,Rook,PIT,0,0,1,0,0,0
30,James Conner,25,RB,233,6-1,Pittsburgh,3,PIT,0,1,0,0,0,0
5,Joshua Dobbs ,25,QB,216,6-3,Tennessee,2,PIT,1,0,0,0,0,0
85,Eric Ebron,27,TE,253,6-4,North Carolina,6,PIT,0,0,0,1,0,0
81,Zach Gentry,24,TE,265,6-8,Michigan,1,PIT,0,0,0,1,0,0
18,Diontae Johnson ,24,WR,183,5-10,Toledo,1,PIT,0,0,1,0,0,0
14,Ray-Ray McCloud,24,WR,190,5-9,Clemson,2,PIT,0,0,1,0,0,0
89,Vance McDonald,30,TE,267,6-4,Rice,7,PIT,0,0,0,1,0,0
26,Anthony McFarland Jr.,21,RB,208,5-8,Maryland,Rook,PIT,0,1,0,0,0,0
7,Ben Roethlisberger,38,QB,240,6-5,Miami (OH),16,PIT,1,0,0,0,0,0
2,Mason Rudolph,25,QB,235,6-5,Oklahoma St.,2,PIT,1,0,0,0,0,0
38,Jaylen Samuels,24,RB,225,6-0,North Carolina St.,2,PIT,0,1,0,0,0,0
19,JuJu Smith-Schuster,24,WR,215,6-1,USC,3,PIT,0,0,1,0,0,0
13,James Washington,24,WR,213,5-11,Oklahoma St.,2,PIT,0,0,1,0,0,0
44,Derek Watt,28,FB,234,6-2,Wisconsin,4,PIT,0,1,0,0,0,0
